Episode,Total Reward,Steps,Termination Reason
16104,-135,13,no_fly_zone
16105,-201,93,boundary
16106,-322,136,boundary
16107,50,20,boundary
16108,-135,13,no_fly_zone
16109,-135,13,no_fly_zone
16110,-98,24,boundary
16111,-135,13,no_fly_zone
16112,394,43,target_reached
16113,-236,93,boundary
16114,-163,27,no_fly_zone
16115,-135,13,no_fly_zone
16116,-100,25,boundary
16117,-137,14,no_fly_zone
16118,-153,22,no_fly_zone
16119,8,20,boundary
16120,-202,76,boundary
16121,50,20,boundary
16122,-135,13,no_fly_zone
16123,-162,56,boundary
16124,-90,20,boundary
16125,-135,13,no_fly_zone
16126,-90,20,boundary
16127,-135,13,no_fly_zone
16128,-135,13,no_fly_zone
16129,-69,20,boundary
16130,-76,48,boundary
16131,50,20,boundary
16132,-120,16,no_fly_zone
16133,-135,13,no_fly_zone
16134,-135,13,no_fly_zone
16135,-174,69,boundary
16136,-120,16,no_fly_zone
16137,-90,20,boundary
16138,-120,16,no_fly_zone
16139,50,20,boundary
16140,-125,15,no_fly_zone
16141,-165,28,no_fly_zone
16142,-135,13,no_fly_zone
16143,-135,13,no_fly_zone
16144,-90,20,boundary
16145,-169,30,no_fly_zone
16146,-90,20,boundary
16147,-149,20,no_fly_zone
16148,-135,13,no_fly_zone
16149,-118,34,boundary
16150,15,20,boundary
16151,-135,13,no_fly_zone
16152,-178,64,boundary
16153,-135,13,no_fly_zone
16154,-94,22,boundary
16155,-135,13,no_fly_zone
16156,-135,13,no_fly_zone
16157,-186,68,boundary
16158,-135,13,no_fly_zone
16159,-116,89,boundary
16160,-135,13,no_fly_zone
16161,-90,20,boundary
16162,-255,73,no_fly_zone
16163,-135,13,no_fly_zone
16164,-1277,673,boundary
16165,-135,13,no_fly_zone
16166,-135,13,no_fly_zone
16167,-135,13,no_fly_zone
16168,-90,20,boundary
16169,66,33,boundary
16170,36,20,boundary
16171,-149,20,no_fly_zone
16172,-116,40,boundary
16173,-125,15,no_fly_zone
16174,-90,20,boundary
16175,50,20,boundary
16176,-120,16,no_fly_zone
16177,-135,13,no_fly_zone
16178,-90,20,boundary
16179,50,20,boundary
16180,-179,35,no_fly_zone
16181,-92,21,boundary
16182,-135,13,no_fly_zone
16183,-135,13,no_fly_zone
16184,-135,13,no_fly_zone
16185,-153,22,no_fly_zone
16186,-155,23,no_fly_zone
16187,-165,28,no_fly_zone
16188,396,42,target_reached
16189,393,40,target_reached
16190,-90,20,boundary
16191,-135,13,no_fly_zone
16192,-135,13,no_fly_zone
16193,50,20,boundary
16194,-90,20,boundary
16195,86,30,boundary
16196,-139,15,no_fly_zone
16197,-135,13,no_fly_zone
16198,-166,58,boundary
16199,-233,130,boundary
16200,-125,15,no_fly_zone
16201,-135,13,no_fly_zone
16202,8,20,boundary
16203,-90,20,boundary
16204,50,20,boundary
16205,50,20,boundary
16206,-157,24,no_fly_zone
16207,-90,20,boundary
16208,-94,22,boundary
16209,48,21,boundary
16210,-151,21,no_fly_zone
16211,-149,20,no_fly_zone
16212,-130,14,no_fly_zone
16213,63,31,boundary
16214,386,40,target_reached
16215,-135,13,no_fly_zone
16216,-135,13,no_fly_zone
16217,50,20,boundary
16218,-130,14,no_fly_zone
16219,50,20,boundary
16220,-135,13,no_fly_zone
16221,-159,25,no_fly_zone
16222,-348,156,boundary
16223,-189,73,boundary
16224,386,40,target_reached
16225,-120,16,no_fly_zone
16226,-90,20,boundary
16227,-135,13,no_fly_zone
16228,-90,20,boundary
16229,-90,20,boundary
16230,-90,20,boundary
16231,-135,13,no_fly_zone
16232,-151,21,no_fly_zone
16233,-280,115,boundary
16234,-207,49,no_fly_zone
16235,-181,36,no_fly_zone
16236,-90,20,boundary
16237,-90,20,boundary
16238,-69,20,boundary
16239,-90,20,boundary
16240,-183,37,no_fly_zone
16241,50,20,boundary
16242,-108,29,boundary
16243,-155,23,no_fly_zone
16244,-135,13,no_fly_zone
16245,-90,20,boundary
16246,-200,75,boundary
16247,-76,20,boundary
16248,-117,79,boundary
16249,-178,64,boundary
16250,-94,22,boundary
16251,-161,26,no_fly_zone
16252,-96,23,boundary
16253,-125,15,no_fly_zone
16254,50,20,boundary
16255,-90,20,boundary
16256,50,20,boundary
16257,-27,20,boundary
16258,50,20,boundary
16259,-130,14,no_fly_zone
16260,-179,35,no_fly_zone
16261,-160,55,boundary
16262,-20,20,boundary
16263,-130,14,no_fly_zone
16264,-135,13,no_fly_zone
16265,50,20,boundary
16266,-90,20,boundary
16267,-135,13,no_fly_zone
16268,-90,20,boundary
16269,-135,13,no_fly_zone
16270,50,20,boundary
16271,-284,117,boundary
16272,-92,21,boundary
16273,-234,92,boundary
16274,-173,79,boundary
16275,-94,22,boundary
16276,62,28,boundary
16277,62,28,boundary
16278,-90,20,boundary
16279,-135,13,no_fly_zone
16280,29,20,boundary
16281,-90,20,boundary
16282,-135,13,no_fly_zone
16283,-90,20,boundary
16284,-125,15,no_fly_zone
16285,-90,20,boundary
16286,15,20,boundary
16287,-353,122,no_fly_zone
16288,-41,20,boundary
16289,-157,24,no_fly_zone
16290,-124,37,boundary
16291,-108,29,boundary
16292,-135,13,no_fly_zone
16293,-135,13,no_fly_zone
16294,-151,21,no_fly_zone
16295,50,20,boundary
16296,-90,20,boundary
16297,43,20,boundary
16298,-339,176,boundary
16299,-452,208,boundary
16300,-135,13,no_fly_zone
16301,-106,28,boundary
16302,-135,13,no_fly_zone
16303,-92,21,boundary
16304,-148,49,boundary
16305,-90,20,boundary
16306,-122,36,boundary
16307,-175,33,no_fly_zone
16308,-120,35,boundary
16309,-94,22,boundary
16310,-135,13,no_fly_zone
16311,-90,20,boundary
16312,-130,40,boundary
16313,-112,31,boundary
16314,-90,20,boundary
16315,-135,13,no_fly_zone
16316,-139,15,no_fly_zone
16317,-140,45,boundary
16318,50,20,boundary
16319,36,20,boundary
16320,-227,59,no_fly_zone
16321,-210,80,boundary
16322,-90,20,boundary
16323,-153,62,boundary
16324,-175,33,no_fly_zone
16325,-90,20,boundary
16326,-90,20,boundary
16327,-90,20,boundary
16328,-263,145,boundary
16329,-157,24,no_fly_zone
16330,50,20,boundary
16331,-90,20,boundary
16332,-135,13,no_fly_zone
16333,-141,16,no_fly_zone
16334,-135,13,no_fly_zone
16335,-137,14,no_fly_zone
16336,50,20,boundary
16337,-147,19,no_fly_zone
16338,50,20,boundary
16339,-137,14,no_fly_zone
16340,-135,13,no_fly_zone
16341,-128,39,boundary
16342,-90,20,boundary
16343,-90,20,boundary
16344,-155,23,no_fly_zone
16345,-130,14,no_fly_zone
16346,-120,16,no_fly_zone
16347,-159,25,no_fly_zone
16348,-83,20,boundary
16349,50,20,boundary
16350,-145,18,no_fly_zone
16351,-135,13,no_fly_zone
16352,-90,20,boundary
16353,-120,16,no_fly_zone
